joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
-0.37612056732177734,-0.5893762868693848,-0.21568519273866826,-2.072092195550436,4.054123878479004,-0.7061885038958948
-0.3761320114135742,-0.5893281263164063,-0.21567279497255498,-2.0721403561034144,4.054088592529297,-0.706212345753805
-0.3761453628540039,-0.5893519681743165,-0.21564895311464483,-2.072116037408346,4.054123878479004,-0.7062481085406702
-0.3761320114135742,-0.5893162053874512,-0.21574432054628545,-2.072092195550436,4.054088592529297,-0.7061999479876917
-0.3761320114135742,-0.5893162053874512,-0.21568519273866826,-2.072104116479391,4.0540642738342285,-0.706212345753805
-0.3761320114135742,-0.5893519681743165,-0.21564895311464483,-2.072116037408346,4.054112434387207,-0.7062481085406702
-0.3761453628540039,-0.589280442600586,-0.21573287645448858,-2.072127958337301,4.0540642738342285,-0.706212345753805
-0.3761453628540039,-0.5893162053874512,-0.21568519273866826,-2.072104116479391,4.054112434387207,-0.706212345753805
-0.3760843276977539,-0.5893042844584961,-0.21569663683046514,-2.072080274621481,4.054123878479004,-0.706212345753805
-0.3759641647338867,-0.5892561239055176,-0.21564895311464483,-2.072020193139547,4.054136276245117,-0.7062361876117151
-0.37542057037353516,-0.5891240400126954,-0.21573287645448858,-2.0719601116576136,4.054148197174072,-0.7062242666827601
-0.37268733978271484,-0.588848428135254,-0.21585256258119756,-2.0715161762633265,4.054148197174072,-0.7062481085406702
-0.3519010543823242,-0.5888841909221192,-0.21579248109926397,-2.0714808903136195,4.054244041442871,-0.706212345753805
-0.3162851333618164,-0.5889085096171875,-0.21580392519106084,-2.0715648136534632,4.0542707443237305,-0.7061999479876917
-0.2724742889404297,-0.5889204305461426,-0.215827767048971,-2.0715767345824183,4.055053234100342,-0.7061885038958948
-0.22975444793701172,-0.5890162748149415,-0.21586400667299444,-2.0716005764403285,4.060111999511719,-0.7062242666827601
-0.1759023666381836,-0.5889681142619629,-0.21614104906191045,-2.0715767345824183,4.074615955352783,-0.706212345753805
-0.11676692962646484,-0.5889681142619629,-0.2182090918170374,-2.0715767345824183,4.079897880554199,-0.7062481085406702
-0.059134483337402344,-0.5889561933330079,-0.23118716875185186,-2.0716129742064417,4.079861640930176,-0.7061885038958948
-0.005539894104003906,-0.5889561933330079,-0.24998218217958623,-2.0715648136534632,4.079873561859131,-0.7061880270587366
0.046259705220357716,-0.5889561933330079,-0.27582103410829717,-2.0715648136534632,4.079837799072266,-0.7061403433429163
0.09062081972231084,-0.5889681142619629,-0.3052333037005823,-2.071406980554098,4.079777717590332,-0.7061646620379847
0.12468225160707647,-0.5889323514750977,-0.3331502119647425,-2.0704714260497035,4.079585552215576,-0.7061522642718714
0.14915448824037725,-0.5889323514750977,-0.36598331132997686,-2.059317728082174,4.079586029052734,-0.7061403433429163
0.15368730226625615,-0.5889204305461426,-0.3990867773639124,-2.028288026849264,4.0795745849609375,-0.7061284224139612
0.1536644140826624,-0.5889442724040528,-0.43437320390810186,-1.9881321392455042,4.079586505889893,-0.7055142561541956
0.1537235418902796,-0.5888961118510743,-0.4703863302813929,-1.949160715142721,4.079622268676758,-0.7053869406329554
0.15371209779848272,-0.5889323514750977,-0.5071867148028772,-1.911602636376852,4.0795745849609375,-0.7051475683795374
0.15368825594057256,-0.5889681142619629,-0.5408743063556116,-1.8729855022826136,4.079622268676758,-0.7046287695514124
0.15370065370668584,-0.5889323514750977,-0.572949234639303,-1.8327118359007777,4.079598426818848,-0.701906983052389
0.15370065370668584,-0.5888841909221192,-0.605816666279928,-1.7904979191222132,4.079598426818848,-0.7000163237201136
0.15373689333070928,-0.5889204305461426,-0.6358545462237757,-1.7531711063780726,4.079634666442871,-0.6689570585833948
0.1537235418902796,-0.5888961118510743,-0.6613500753985804,-1.7151724300780238,4.079622268676758,-0.6156399885760706
0.15371209779848272,-0.5888961118510743,-0.6873462835894983,-1.6755806408324183,4.079610824584961,-0.5373471418963831
0.15388185182680303,-0.588860349064209,-0.713473145161764,-1.6549459896483363,4.079550743103027,-0.46132070222963506
0.1539524237262171,-0.5888365072062989,-0.74268085161318,-1.6381522617735804,4.079466819763184,-0.425880257283346
0.15398866335024053,-0.588848428135254,-0.7663925329791468,-1.6170908413329066,4.077873229980469,-0.4259570280658167
0.15402299562563115,-0.5888722699931641,-0.7891200224505823,-1.5836521587767542,4.074732780456543,-0.42592078844179326
0.15392762819399053,-0.5889681142619629,-0.8161204496966761,-1.540715531711914,4.068694114685059,-0.4259451071368616
0.15390474001039678,-0.588980035190918,-0.8445575873004358,-1.513425664310791,4.068559646606445,-0.42593318620790654
0.15392762819399053,-0.5890281957438965,-0.8756030241595667,-1.5089333814433594,4.0685834884643555,-0.42592078844179326
0.15391618410219365,-0.58906443536792,-0.9008358160602015,-1.5050056737712403,4.0685715675354,-0.4259570280658167
0.1538303534137171,-0.5891731542399903,-0.9185822645770472,-1.47983010232959,4.0685834884643555,-0.4260166327105921
0.15369970003236944,-0.589437798862793,-0.9324172178851526,-1.4444902700236817,4.068643569946289,-0.42598086992372686
0.15356809297670537,-0.5900047582438965,-0.9459155241595667,-1.4247434896281739,4.068631649017334,-0.426004711781637
0.15352040926088506,-0.5904696744731446,-0.9616020361529749,-1.4215820592692872,4.0687031745910645,-0.42598086992372686
0.15359193483461553,-0.5906365674785157,-0.9837306181537073,-1.4216059011271973,4.068643569946289,-0.426004711781637
0.15362817445863897,-0.5905764859965821,-1.007761303578512,-1.4215334218791504,4.0685834884643555,-0.42599279085268194
0.1536043326007288,-0.5905407232097168,-1.0412734190570276,-1.4214380544475098,4.068438529968262,-0.426004711781637
0.15359193483461553,-0.5905283254436036,-1.0766690413104456,-1.4214380544475098,4.067043304443359,-0.4260166327105921
0.1535556952105921,-0.5905526441386719,-1.1125291029559534,-1.4214986127666016,4.066110610961914,-0.4262121359454554
0.1534965674029749,-0.5905164045146485,-1.146034065877096,-1.421546296482422,4.061010360717773,-0.426460091267721
0.15347177187074834,-0.5905044835856934,-1.1731017271624964,-1.421546296482422,4.060295581817627,-0.4268425146685999
0.15336400667299444,-0.5905164045146485,-1.1979087034808558,-1.4220760625651856,4.060283660888672,-0.42967492738832647
0.15327912965883428,-0.5905164045146485,-1.2165449301349085,-1.4228366178325196,4.060198783874512,-0.4448788801776331
0.1525362173663538,-0.5905164045146485,-1.237035099660055,-1.4320495885661622,4.05834436416626,-0.47024852434267217
0.15243035951723272,-0.5905044835856934,-1.2553475538836878,-1.4670160573771973,4.046894073486328,-0.4939821402179163
0.15251428285707647,-0.5904687207988282,-1.2724764982806605,-1.5158513349345704,4.022003173828125,-0.5138381163226526
0.15250188509096319,-0.5904567998698731,-1.2878697554217737,-1.5371840757182618,4.00393009185791,-0.5139110724078577
0.15236932436098272,-0.590541200046875,-1.3010652701007288,-1.5399511617473145,3.9953222274780273,-0.5138872305499476
0.1521843115435999,-0.5931971830180665,-1.3157885710345667,-1.5400851529887696,3.9868454933166504,-0.5138991514789026
0.1498191992389124,-0.5996802610209961,-1.3275178114520472,-1.5403717321208497,3.9637322425842285,-0.5146854559527796
0.13975412050356084,-0.600262002354004,-1.3363474051104944,-1.5405405324748536,3.9538867473602295,-0.5324848333941858
0.1332624594317835,-0.6002858442119141,-1.3467467466937464,-1.5417769712260743,3.953136444091797,-0.5540888945208948
